Author,Site,Lon,Lat,Country,State_City,MAT_original,MAP_original,MAT,MAP,Elevation,SoilOrder_LEN_USDA_original,SoilOrder_LEN_USDA,Suborder,SoilOrder,SoilTextureClass,VegLocal,VegType_Species,VegTypeCode_Local_original,VegTypeCode_Local,VegTypeCodeStr_Local,clim_code_whittaker,clim_code,ParentMaterial,Slope,SlopePosition,Aspect,Abovegd_litterfall,DrainedClass,Core_Layer_Name,Hzn1,Hzn2,Hzn3,HorizonDesignation,Layer_top,Layer_bottom,Layer_top_norm,Layer_bottom_norm,ProfileID,ProfileZeroDesignation,d13C,D14C_BulkLayer_text,D14C_BulkLayer,D14C_err,14C_age,14C_age_sigma,TT,Terrace Age,FractionModern,FractionModern_sigma,SampleYear,Measurement_Year,BulkDensity_original,BulkDensity,SpecificSurfaceArea,PH_H2O,pct_C_original,pct_C,pct_N,CN,Cmass,sand_pct,silt_pct,clay_pct,cation_exch,Fe_d,Fe_o,Fep,Alp,Ald,Alo,Feo and Alo,Fep,Alp,Feo,Alo,Fed,Ald,Al,Fe,Fe-oxideMinerals,Smectite,nonxtalline,poorly_crystalline_aluminosilicate,noncrystalline_minerals_pct_weight,notes,reference,doi,title,USDA classificiation,Brazilian classification,FAO classification ,AMS lab ,number,avail P extr with HCl_H2SO4,Ext Ca_withKCl,Ext Mg_with_KCl,Ext Al _with_KCl
Lassey_1996RadC,"Waimangu Rd, Rotorua, North Island",176.38,-38.28,NewZealand,,13,1270,13,1270,460,And,And,Vitric andosol,Andisol,,"Bracken fern, mahoe, coprosma",,4,4,grassland,6,5,"Rotomahana mud, hydrothermally altered rhyolitic ejecta from Lake Rotomahana's 1886 eruption",5,,270,,Well,,A,,,Ah1,0,3,0,3,113,top of mineral soil,,43.2,43.2,,,,,,,,1960,,0.69,0.69,,5.8,9.9,9.9,0.54,,0.06831,61,25,12,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Waimangu Rd, Rotorua, North Island",176.38,-38.28,NewZealand,,13,1270,13,1270,460,And,And,Vitric andosol,Andisol,,"Bracken fern, mahoe, coprosma",,4,4,grassland,6,5,"Rotomahana mud, hydrothermally altered rhyolitic ejecta from Lake Rotomahana's 1886 eruption",5,,270,,Well,,A,,,Ah2,3,8,3,8,113,top of mineral soil,,20,20,,,,,,,,1960,,0.69,0.69,,5.8,1.3,1.3,0.07,,0.00897,,,,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Waimangu Rd, Rotorua, North Island",176.38,-38.28,NewZealand,,13,1270,13,1270,460,And,And,Vitric andosol,Andisol,,"Bracken fern, mahoe, coprosma",,4,4,grassland,6,5,"Rotomahana mud, hydrothermally altered rhyolitic ejecta from Lake Rotomahana's 1886 eruption",5,,270,,Well,,C,,,Cu,8,61,8,61,113,top of mineral soil,,-436,-436,,,,,,,,1960,,1.2,1.2,,6.4,0.2,0.2,0.02,,0.0024,50,36,13,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Waimangu Rd, Rotorua, North Island",176.38,-38.28,NewZealand,,13,1270,13,1270,460,And,And,Vitric andosol,Andisol,,"Bracken fern, mahoe, coprosma",,4,4,grassland,6,5,"Rotomahana mud, hydrothermally altered rhyolitic ejecta from Lake Rotomahana's 1886 eruption",5,,270,,Well,,A,Ab,b,Ah2b,61,79,61,79,113,top of mineral soil,,-33.8,-33.8,,,,,,,,1960,,0.69,0.69,,5.4,3.6,3.6,0.21,,0.02484,,,,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Waimangu Rd, Rotorua, North Island",176.38,-38.28,NewZealand,,13,1270,13,1270,460,And,And,Vitric andosol,Andisol,,"Bracken fern, mahoe, coprosma",,4,4,grassland,6,5,"Rotomahana mud, hydrothermally altered rhyolitic ejecta from Lake Rotomahana's 1886 eruption",5,,270,,Well,,AB,,b,AB2b,79,91,79,91,113,top of mineral soil,,-94.9,-94.9,,,,,,,,1960,,0.69,0.69,,5.5,3.4,3.4,0.14,,0.02346,,,,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996_Radiocarbon,Rothamahana Sandy Loam,176.23,-38.28,New-Zealand,North Island,,,11.63939394,1600.572727,460,,And,,,,"bracken fern, mahoe, coprosma, kamahi, lupin",,4,4,grassland,6,5,,,,,,,,,,,Cu,30,61,30,61,606,top of mineral soil,,-436.9,-436.9,13.9,1090,70,,,56.3,1.4,1960,,1.2,1.2,,,0.2,0.2,,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Rothamahana Sandy Loam,176.23,-38.28,New-Zealand,North Island,,,11.63939394,1600.572727,460,,And,,,,"bracken fern, mahoe, coprosma, kamahi, lupin",,4,4,grassland,6,5,,,,,,,,,,,2bAh,74,79,74,79,606,top of mineral soil,,-33.8,-33.8,3.8,1630,70,,,96.6,0.4,1960,,0.69,0.69,,,3.6,3.6,,,0.02484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Rothamahana Sandy Loam,176.23,-38.28,New-Zealand,North Island,,,11.63939394,1600.572727,460,,And,,,,"bracken fern, mahoe, coprosma, kamahi, lupin",,4,4,grassland,6,5,,,,,,,,,,,2bAB,84,91,84,91,606,top of mineral soil,,-94.9,-94.9,5.3,2350,80,,,90.5,0.5,1960,,0.69,0.69,,,3.4,3.4,,,0.02346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996RadC,"Lomond Road, Taupo North Island",175.95,-38.583,NewZealand,,12,2000,12,2000,610,Spo,Spo,Orthic podzol,,,"Browntop, Yorkshire fog, Thistles, White clover",,4,4,grassland,6,5,Taupo pumice overlying weathered rhyolitic tephra,4,,360,,Well,,A,,,Ap,0,9,0,9,112,top of mineral soil,,142.8,142.8,,,,,,,,1973,,0.89,0.89,,6,4.6,4.6,0.3,,0.04094,80,18,2,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Lomond Road, Taupo North Island",175.95,-38.583,NewZealand,,12,2000,12,2000,610,Spo,Spo,Orthic podzol,,,"Browntop, Yorkshire fog, Thistles, White clover",,4,4,grassland,6,5,Taupo pumice overlying weathered rhyolitic tephra,4,,360,,Well,,E,,,Ea,9,19,9,19,112,top of mineral soil,,58.6,58.6,,,,,,,,1973,,0.72,0.72,,6.1,4.1,4.1,0.31,,0.02952,75,22,3,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
